conv_date,cantidad_usuarios_unicos,revenue,revenue_por_usuario_dia
2017-03-01,199,32614.100440000002,163.889951959799
2017-03-02,82,16387.22952,199.8442624390244
2017-03-03,204,40806.47256,200.03172823529414
2017-03-04,151,27539.2884,182.37939337748344
2017-03-05,174,31716.45992,182.27850528735632
2017-03-06,180,32334.88072,179.63822622222222
2017-03-07,142,26809.0508,188.7961323943662
2017-03-08,197,36281.28064,184.16893725888323
2017-03-09,143,26987.2866,188.7222839160839
2017-03-10,122,21924.73152,179.71091409836066
2017-03-11,105,20821.6948,198.30185523809524
2017-03-12,179,32239.0516,180.10643351955306
2017-03-13,194,34728.72656,179.0140544329897
2017-03-14,174,31414.7478,180.5445275862069
2017-03-15,141,25601.74172,181.57263631205674
2017-03-16,110,19289.87008,175.3624552727273
2017-03-17,125,22408.43412,179.26747296000002
2017-03-18,119,21242.39444,178.507516302521
2017-03-19,145,29473.6894,203.26682344827586
2017-03-20,161,29658.13964,184.21204745341615
2017-03-21,150,32097.98092,213.98653946666667
2017-03-22,186,41127.78052,221.11709956989247
2017-03-23,120,25045.24868,208.71040566666667
2017-03-24,111,22778.9798,205.21603423423423
2017-03-25,131,30532.14672,233.06982229007633
2017-03-26,165,36762.09492,222.8005752727273
2017-03-27,189,36991.97352,195.72472761904763
2017-03-28,154,31429.99804,204.09089636363635
2017-03-29,201,44278.59688,220.29152676616914
2017-03-30,145,26867.22204,185.29118648275863
2017-03-31,297,70149.00796,236.191945993266
2017-04-01,1114,308243.73544,276.69994204667864
2017-04-02,819,202178.48052,246.86017157509158
2017-04-03,684,161074.11888,235.48847789473683
2017-04-04,573,142665.509,248.97994589877834
2017-04-05,543,134312.80652,247.35323484346227
2017-04-06,584,130310.96264,223.13521
2017-04-07,849,203753.49108,239.99233342756185
2017-04-08,1225,292663.08988,238.9086448
2017-04-09,124,23690.81596,191.05496741935482
2017-04-10,152,29561.43316,194.48311289473685
2017-04-11,127,23493.34896,184.98699968503936
2017-04-12,160,32729.69512,204.5605945
2017-04-13,116,23434.957,202.02549137931032
2017-04-14,107,20396.852039999998,190.62478542056073
2017-04-15,76,13779.523720000001,181.30952263157897
2017-04-16,87,15330.995,176.21833333333333
2017-04-17,172,39509.4602,229.70616395348839
2017-04-18,199,43688.706,219.54123618090452
2017-04-19,55,9451.89752,171.85268218181818
2017-04-20,83,13817.12704,166.47141012048192
2017-04-21,70,11470.95388,163.8707697142857
2017-04-22,68,13851.396,203.697
2017-04-23,100,15930.887999999999,159.30888
