conv_date,revenue
2017-03-01,32614.100440000002
2017-03-02,16387.22952
2017-03-03,40806.47256
2017-03-04,27539.2884
2017-03-05,31716.45992
2017-03-06,32334.88072
2017-03-07,26809.0508
2017-03-08,36281.28064
2017-03-09,26987.2866
2017-03-10,21924.73152
2017-03-11,20821.6948
2017-03-12,32239.0516
2017-03-13,34728.72656
2017-03-14,31414.7478
2017-03-15,25601.74172
2017-03-16,19289.87008
2017-03-17,22408.43412
2017-03-18,21242.39444
2017-03-19,29473.6894
2017-03-20,29658.13964
2017-03-21,32097.98092
2017-03-22,41127.78052
2017-03-23,25045.24868
2017-03-24,22778.9798
2017-03-25,30532.14672
2017-03-26,36762.09492
2017-03-27,36991.97352
2017-03-28,31429.99804
2017-03-29,44278.59688
2017-03-30,26867.22204
2017-03-31,70149.00796
2017-04-01,308243.73544
2017-04-02,202178.48052
2017-04-03,161074.11888
2017-04-04,142665.509
2017-04-05,134312.80652
2017-04-06,130310.96264
2017-04-07,203753.49108
2017-04-08,292663.08988
2017-04-09,23690.81596
2017-04-10,29561.43316
2017-04-11,23493.34896
2017-04-12,32729.69512
2017-04-13,23434.957
2017-04-14,20396.852039999998
2017-04-15,13779.523720000001
2017-04-16,15330.995
2017-04-17,39509.4602
2017-04-18,43688.706
2017-04-19,9451.89752
2017-04-20,13817.12704
2017-04-21,11470.95388
2017-04-22,13851.396
2017-04-23,15930.887999999999
2017-04-24,14235.852
2017-04-25,16213.496
2017-04-26,16742.004
2017-04-27,23275.472
2017-04-28,29144.792
2017-04-29,22536.948
2017-04-30,25299.352
2017-05-01,54554.81456
2017-05-02,31610.36
2017-05-03,34795.0538
2017-05-04,34202.14524
2017-05-05,19044.172
2017-05-06,21561.88
2017-05-07,40307.0316
2017-05-08,53930.81148
2017-05-09,25402.132
2017-05-10,18461.128
2017-05-11,22129.328
2017-05-12,16784.548
2017-05-15,17593.192
2017-05-16,17398.076
2017-05-17,15497.42
2017-05-18,16494.752
2017-05-19,14659.088
2017-05-20,16092.76
2017-05-21,24935.612
2017-05-22,23031.836
2017-05-23,27182.464
2017-05-24,19674.212
2017-05-25,22113.952
2017-05-26,29093.352
2017-05-27,18895.58
2017-05-28,36217.42
2017-05-29,45937.144
2017-05-30,25187.904
2017-05-31,24202.332
2017-06-01,27378.992
2017-06-02,22411.632
2017-06-03,19027.816
2017-06-04,24866.964
2017-06-05,34840.476
2017-06-06,31985.328
2017-06-07,28835.536
2017-06-08,19016.972
2017-06-09,30377.432
2017-06-10,24705.056
2017-06-11,43235.824
2017-06-12,27820.96
2017-06-13,28092.392
2017-06-14,40719.932
2017-06-15,41005.532
2017-06-16,36603.368
2017-06-17,24720.968
2017-06-18,35463.456
2017-06-19,26459.744
2017-06-20,34251.6
2017-06-21,27325.776
2017-06-22,22929.844
2017-06-23,40559.784
2017-06-24,26269.416
2017-06-25,79230.324
2017-06-26,32166.148
2017-06-27,25784.64
2017-06-28,28137.86
2017-06-29,44056.044
2017-06-30,35516.648
2017-07-01,23815.236
